#,Company,Symbol,Portfolio%,Price,Chg,% Chg
324,Entergy Corporation,ETR,0.05%,106.32,0.56,(0.53%)
325,Hubbell Incorporated,HUBB,0.05%,409.17,-6.57,(-1.58%)
326,"Ulta Beauty, Inc.",ULTA,0.05%,454.8,2.02,(0.45%)
327,"Ptc, Inc",PTC,0.05%,187.14,0.73,(0.39%)
328,"Molina Healthcare, Inc.",MOH,0.05%,379.97,-1.59,(-0.42%)
329,"Corpay, Inc.",CPAY,0.05%,304.59,-2.27,(-0.74%)
330,"Netapp, Inc",NTAP,0.05%,104.15,-1.67,(-1.58%)
331,"Axon Enterprise, Inc.",AXON,0.05%,311.27,0.06,(0.02%)
332,Equity Residential,EQR,0.05%,64.47,0.67,(1.05%)
333,International Flavors & Fragrances Inc.,IFF,0.05%,86.38,1.29,(1.52%)
334,Aptiv Plc,APTV,0.05%,78.93,2.86,(3.76%)
335,Baxter International Inc.,BAX,0.05%,42.83,0.58,(1.37%)
336,Genuine Parts Company,GPC,0.05%,150.49,0.08,(0.05%)
337,Coterra Energy Inc.,CTRA,0.05%,27.88,-0.14,(-0.50%)
338,Steris Plc,STE,0.05%,214.72,2.07,(0.97%)
339,Ball Corporation,BALL,0.05%,67.36,0.75,(1.13%)
340,Eversource Energy,ES,0.05%,59.96,0.49,(0.82%)
341,Illumina Inc,ILMN,0.05%,133.57,3.45,(2.65%)
342,Invitation Homes Inc.,INVH,0.05%,35.57,0.23,(0.65%)
343,"Brown & Brown, Inc.",BRO,0.05%,84.56,-0.95,(-1.11%)
344,Ppl Corporation,PPL,0.05%,27.53,0.15,(0.55%)
345,Huntington Bancshares Inc,HBAN,0.05%,14.04,0.03,(0.21%)
346,Waters Corp,WAT,0.05%,345.03,5.99,(1.77%)
347,Firstenergy Corp.,FE,0.05%,38.47,0.1,(0.26%)
348,"Alexandria Real Estate Equities, Inc.",ARE,0.05%,129.6,2.89,(2.28%)
349,"The Cooper Companies, Inc.",COO,0.04%,98.92,0.29,(0.29%)
350,Teledyne Technologies Incorporated,TDY,0.04%,416.06,1.49,(0.36%)
351,Las Vegas Sands Corp.,LVS,0.04%,52.45,0.01,(0.02%)
352,"Cboe Global Markets, Inc.",CBOE,0.04%,179.13,-3.24,(-1.78%)
353,Veralto Corporation,VLTO,0.04%,89.2,1.53,(1.75%)
354,"First Solar, Inc.",FSLR,0.04%,184.7,5.48,(3.06%)
355,Cincinnati Financial Corp,CINF,0.04%,119.88,-2.02,(-1.66%)
356,Ameren Corporation,AEE,0.04%,73.99,0.65,(0.89%)
357,"Textron, Inc.",TXT,0.04%,96.31,-0.67,(-0.69%)
358,"Mccormick & Company, Incorporated Non-Vtg Cs",MKC,0.04%,75.63,0.0,(0.00%)
